p,instance,rep,time,iterations,value
1.0,ta005,11,0.000162,NA,1324
1.0,ta005,12,6.5e-5,NA,1319
1.0,ta005,13,5.5e-5,NA,1309
1.0,ta005,14,7.2e-5,NA,1290
1.0,ta005,15,6.8e-5,NA,1290
0.0,ta006,1,8.7e-5,NA,1535
0.0,ta006,2,5.5e-5,NA,1498
0.0,ta006,3,6.0e-5,NA,1498
0.0,ta006,4,5.2e-5,NA,1467
0.0,ta006,5,7.4e-5,NA,1457
0.0,ta006,6,5.6e-5,NA,1457
0.0,ta006,7,7.0e-5,NA,1454
0.0,ta006,8,0.000125,NA,1409
0.0,ta006,9,7.6e-5,NA,1409
0.0,ta006,10,5.9e-5,NA,1409
0.0,ta006,11,5.4e-5,NA,1409
0.0,ta006,12,6.2e-5,NA,1409
0.0,ta006,13,8.2e-5,NA,1389
0.0,ta006,14,5.7e-5,NA,1389
0.0,ta006,15,6.4e-5,NA,1389
0.05,ta006,1,5.1e-5,NA,1516
0.05,ta006,2,6.5e-5,NA,1482
0.05,ta006,3,4.2e-5,NA,1453
0.05,ta006,4,6.6e-5,NA,1453
0.05,ta006,5,0.000131,NA,1453
0.05,ta006,6,7.4e-5,NA,1414
0.05,ta006,7,5.6e-5,NA,1414
0.05,ta006,8,7.4e-5,NA,1414
0.05,ta006,9,6.3e-5,NA,1414
0.05,ta006,10,7.4e-5,NA,1414
0.05,ta006,11,7.3e-5,NA,1414
0.05,ta006,12,7.4e-5,NA,1414
0.05,ta006,13,6.5e-5,NA,1414
0.05,ta006,14,7.4e-5,NA,1414
0.05,ta006,15,6.4e-5,NA,1414
0.25,ta006,1,7.3e-5,NA,1498
0.25,ta006,2,6.2e-5,NA,1498
0.25,ta006,3,6.8e-5,NA,1453
0.25,ta006,4,0.000121,NA,1453
0.25,ta006,5,5.8e-5,NA,1444
0.25,ta006,6,0.000113,NA,1414
0.25,ta006,7,7.0e-5,NA,1397
0.25,ta006,8,6.0e-5,NA,1385
0.25,ta006,9,6.8e-5,NA,1385
0.25,ta006,10,6.6e-5,NA,1385
0.25,ta006,11,7.5e-5,NA,1385
0.25,ta006,12,6.4e-5,NA,1385
0.25,ta006,13,7.4e-5,NA,1385
0.25,ta006,14,0.000172,NA,1385
0.25,ta006,15,7.6e-5,NA,1385
0.5,ta006,1,5.3e-5,NA,1801
0.5,ta006,2,5.3e-5,NA,1719
0.5,ta006,3,5.7e-5,NA,1661
0.5,ta006,4,6.4e-5,NA,1573
0.5,ta006,5,8.3e-5,NA,1558
0.5,ta006,6,7.9e-5,NA,1529
0.5,ta006,7,6.7e-5,NA,1488
0.5,ta006,8,7.5e-5,NA,1457
0.5,ta006,9,0.000805,NA,1457
0.5,ta006,10,7.8e-5,NA,1457
0.5,ta006,11,0.000292,NA,1457
0.5,ta006,12,0.000102,NA,1457
0.5,ta006,13,8.8e-5,NA,1457
0.5,ta006,14,8.7e-5,NA,1457
0.5,ta006,15,8.4e-5,NA,1457
0.75,ta006,1,6.4e-5,NA,1871
0.75,ta006,2,5.4e-5,NA,1859
0.75,ta006,3,6.3e-5,NA,1852
0.75,ta006,4,5.2e-5,NA,1840
0.75,ta006,5,0.000285,NA,1816
0.75,ta006,6,7.3e-5,NA,1755
0.75,ta006,7,7.0e-5,NA,1753
0.75,ta006,8,6.4e-5,NA,1712
0.75,ta006,9,6.6e-5,NA,1654
0.75,ta006,10,6.0e-5,NA,1564
0.75,ta006,11,6.4e-5,NA,1552
0.75,ta006,12,5.2e-5,NA,1523
0.75,ta006,13,6.2e-5,NA,1482
0.75,ta006,14,5.2e-5,NA,1453
0.75,ta006,15,7.4e-5,NA,1453
1.0,ta006,1,0.000193,NA,1854
1.0,ta006,2,8.0e-5,NA,1813
1.0,ta006,3,5.7e-5,NA,1784
1.0,ta006,4,5.8e-5,NA,1760
1.0,ta006,5,4.7e-5,NA,1731
1.0,ta006,6,5.9e-5,NA,1673
1.0,ta006,7,4.8e-5,NA,1655
1.0,ta006,8,4.4e-5,NA,1614
1.0,ta006,9,6.1e-5,NA,1602
1.0,ta006,10,5.8e-5,NA,1595
1.0,ta006,11,6.5e-5,NA,1581
1.0,ta006,12,0.000154,NA,1561
1.0,ta006,13,5.3e-5,NA,1532
1.0,ta006,14,6.2e-5,NA,1520
1.0,ta006,15,5.6e-5,NA,1479
0.0,ta007,1,7.6e-5,NA,1424
0.0,ta007,2,6.4e-5,NA,1422
0.0,ta007,3,7.4e-5,NA,1224
0.0,ta007,4,6.4e-5,NA,1210
0.0,ta007,5,7.4e-5,NA,1170
0.0,ta007,6,6.4e-5,NA,1170
0.0,ta007,7,7.6e-5,NA,1170
0.0,ta007,8,6.4e-5,NA,1170
0.0,ta007,9,7.4e-5,NA,1170
0.0,ta007,10,6.5e-5,NA,1170
0.0,ta007,11,0.000144,NA,1170
0.0,ta007,12,6.4e-5,NA,1170
0.0,ta007,13,7.4e-5,NA,1170
0.0,ta007,14,7.8e-5,NA,1170
0.0,ta007,15,7.5e-5,NA,1170
0.05,ta007,1,6.5e-5,NA,1518
0.05,ta007,2,7.5e-5,NA,1371
0.05,ta007,3,6.1e-5,NA,1286
0.05,ta007,4,7.5e-5,NA,1274
0.05,ta007,5,6.5e-5,NA,1231
0.05,ta007,6,0.000146,NA,1231
0.05,ta007,7,6.6e-5,NA,1207
0.05,ta007,8,7.5e-5,NA,1207
0.05,ta007,9,6.6e-5,NA,1207
0.05,ta007,10,7.5e-5,NA,1186
0.05,ta007,11,6.6e-5,NA,1186
0.05,ta007,12,7.5e-5,NA,1157
0.05,ta007,13,6.5e-5,NA,1157
0.05,ta007,14,7.5e-5,NA,1157
0.05,ta007,15,6.4e-5,NA,1157
0.25,ta007,1,7.4e-5,NA,1290
0.25,ta007,2,0.000136,NA,1249
0.25,ta007,3,7.5e-5,NA,1249
0.25,ta007,4,6.4e-5,NA,1249
0.25,ta007,5,7.4e-5,NA,1249
0.25,ta007,6,6.8e-5,NA,1231
0.25,ta007,7,7.4e-5,NA,1170
0.25,ta007,8,6.5e-5,NA,1170
0.25,ta007,9,7.5e-5,NA,1170
0.25,ta007,10,6.5e-5,NA,1170
0.25,ta007,11,7.5e-5,NA,1170
0.25,ta007,12,6.6e-5,NA,1170
0.25,ta007,13,0.000145,NA,1170
0.25,ta007,14,6.6e-5,NA,1170
0.25,ta007,15,7.5e-5,NA,1167
0.5,ta007,1,6.5e-5,NA,1195
0.5,ta007,2,7.5e-5,NA,1195
0.5,ta007,3,0.000792,NA,1195
0.5,ta007,4,7.5e-5,NA,1195
0.5,ta007,5,0.000122,NA,1195
0.5,ta007,6,7.6e-5,NA,1195
0.5,ta007,7,6.6e-5,NA,1195
0.5,ta007,8,0.000133,NA,1195
0.5,ta007,9,6.6e-5,NA,1195
0.5,ta007,10,7.5e-5,NA,1195
0.5,ta007,11,6.5e-5,NA,1195
0.5,ta007,12,7.0e-5,NA,1195
0.5,ta007,13,6.5e-5,NA,1195
0.5,ta007,14,5.4e-5,NA,1182
0.5,ta007,15,0.00012,NA,1182
0.75,ta007,1,8.4e-5,NA,1310
0.75,ta007,2,6.0e-5,NA,1271
0.75,ta007,3,7.0e-5,NA,1223
0.75,ta007,4,0.000141,NA,1192
0.75,ta007,5,7.6e-5,NA,1192
0.75,ta007,6,6.4e-5,NA,1192
0.75,ta007,7,7.4e-5,NA,1192
0.75,ta007,8,6.5e-5,NA,1192
0.75,ta007,9,7.1e-5,NA,1192
0.75,ta007,10,5.6e-5,NA,1192
0.75,ta007,11,5.5e-5,NA,1170
0.75,ta007,12,7.6e-5,NA,1170
0.75,ta007,13,7.8e-5,NA,1170
0.75,ta007,14,0.000229,NA,1170
0.75,ta007,15,0.000153,NA,1170
